News Org,Tweets Ago,Date,Tweet,Compound,Positive,Neutral,Negative
@BBC,40,Tue Nov 28 19:38:52 +0000 2017,"RT @bbcthesocial: We've got some weird and pointless world records in Scotland…

@LewisBuchan https://t.co/3PzHyhpDcN",-0.1779,0.0,0.116,0.884
@BBC,41,Tue Nov 28 19:38:42 +0000 2017,"RT @bbcmusic: 🔥 @CraigDavid and @BastilleDan were pure pop perfection with their FIRST live performance of ‘I Know You’ on #SLFN
Watch in f…",0.5719,0.144,0.0,0.856
@BBC,42,Tue Nov 28 19:38:36 +0000 2017,RT @BBCSpringwatch: If you can find a red deer more majestic than this chap then you win the internet for today ❄️ https://t.co/f0RX7z5fcH,0.5859,0.153,0.0,0.847
@BBC,43,Tue Nov 28 19:38:14 +0000 2017,"RT @BBCOne: ""It's a profoundly human condition.""

#TheAWord cast explain how their personal understanding of autism has changed since filmi…",0.0,0.0,0.0,1.0
@BBC,44,Tue Nov 28 19:38:03 +0000 2017,RT @TWBBC: Postpartum psychosis affects 1/1000 women. Talk mums and mentalhealth today with @bbc5live #mumtakeover (story via @wellcometrus…,0.0,0.0,0.0,1.0
@BBC,45,Tue Nov 28 19:37:49 +0000 2017,"RT @bbcpress: Steven Knight (#PeakyBlinders, #Taboo) will adapt Dickens for @BBCOne to create a boxset of Dickens’ most iconic novels, star…",0.2732,0.1,0.0,0.9
@BBC,46,Tue Nov 28 19:33:15 +0000 2017,"Like a bit of photography? Love historic places?
Check out the winners &amp; runners up from the Historic Photographer… https://t.co/cCP9bWistD",0.8796,0.388,0.0,0.612
@BBC,47,Tue Nov 28 19:00:01 +0000 2017,"🍰😋 Indulge yourself with @Nigella_Lawson's white chocolate cheesecake. 👉 https://t.co/Beb6vgCFxp
#AtMyTable via… https://t.co/drLGUzibYV",0.0,0.0,0.0,1.0
@BBC,48,Tue Nov 28 18:30:07 +0000 2017,"Need to get a decent meal on the table in a flash? These are all fast, tasty &amp; can be made with just a few ingredie… https://t.co/uCkPqm3ZhP",0.0,0.0,0.0,1.0
@BBC,49,Tue Nov 28 18:00:06 +0000 2017,"Meet Rowland Emmett. Cartoonist. Illustrator. Inventor extraordinaire. 
Via @TWBBC. https://t.co/SUEnPduXTe",0.0,0.0,0.0,1.0
@BBC,50,Tue Nov 28 17:34:03 +0000 2017,Why are so many young people turning vegan? 🍊🌽🥕 https://t.co/Mjyz2lhXKX https://t.co/jHK0aMBet8,0.0,0.0,0.0,1.0
@BBC,51,Tue Nov 28 17:02:04 +0000 2017,Shout out to the Nandem! 👵🔥 Big Shaq's collab with Nanna Moe never gets old. Via @BBCR1 https://t.co/1uIkhqknke,0.0,0.0,0.0,1.0
@BBC,52,Tue Nov 28 16:32:03 +0000 2017,The Duchess of Cambridge says she is 'absolutely thrilled' by Prince Harry's engagement to actress Meghan Markle.… https://t.co/qzTHORRrWJ,0.7346,0.279,0.0,0.721
@BBC,53,Tue Nov 28 15:44:17 +0000 2017,"RT @bbcthree: ""Can I pop them?""

And other things not to say to people with acne. https://t.co/p5CzCaiteJ",0.0,0.0,0.0,1.0
@BBC,54,Tue Nov 28 15:42:48 +0000 2017,"Prince Harry and Meghan Markle will marry at St George's Chapel, Windsor Castle next May. ❤️️💍… https://t.co/qcRVNIF4Fi",0.0,0.0,0.0,1.0
@BBC,55,Tue Nov 28 14:51:03 +0000 2017,From @usainbolt's love of chicken nuggets to @Venuseswilliams' raw food diet: these are the weird things sports sta… https://t.co/HmEOxd43MN,0.5423,0.183,0.074,0.742
@BBC,56,Tue Nov 28 14:33:07 +0000 2017,🍁 ☁️ 📷 These beautiful photographs capture what the weather looked like around the world last week.… https://t.co/zdioyskkIW,0.7506,0.314,0.0,0.686
@BBC,57,Tue Nov 28 14:00:18 +0000 2017,📻 'I'm really mortified by it.' 😳 Prue Leith on *that* Bake Off tweet. https://t.co/NabKaSRvnN https://t.co/NTdrqb1rc4,0.0,0.0,0.0,1.0
@BBC,58,Tue Nov 28 13:52:02 +0000 2017,"RT @BBCOne: Present-ing your first glimpse of Christmas on BBC One. 🎁

More info: https://t.co/2qdOBx0Zw9 https://t.co/cyyEI4lF0x",0.0,0.0,0.0,1.0
@BBC,59,Tue Nov 28 13:33:04 +0000 2017,"'Dimber-damber', 'iddy-umpty' and 24 other words we're in danger of losing from the English language. 💬… https://t.co/vOsX0epTnm",-0.7184,0.0,0.286,0.714
@BBC,60,Tue Nov 28 13:02:03 +0000 2017,"From painting the town pink to sending postcards, here are 10 creative ways musicians have teased new albums. 🎨 📮… https://t.co/KPhg4IEXhP",0.1779,0.126,0.095,0.779
@BBC,61,Tue Nov 28 12:42:12 +0000 2017,"RT @BBC_Teach: How did @mrdanwalker get on with the #TerrificScientific Foot Flexibility Challenge 👣? And was he cheating, @louiseminchin?…",-0.3094,0.172,0.152,0.676
@BBC,62,Tue Nov 28 12:30:03 +0000 2017,"'Oh my God, she's gonna eat the cat food.' 
The purrrrfect prank. 😹 
#MichaelMcIntyresBigShow via @BBCOne. https://t.co/VTbVdeNlLt",0.2732,0.123,0.0,0.877
@BBC,63,Tue Nov 28 12:12:03 +0000 2017,"Today, @StaceySolomon, @RochelleHumes, @MrsGiFletcher and @NeevOfficial join @AnnaeFoster to host @BBC5Live's… https://t.co/IHG38zN1uY",0.296,0.167,0.0,0.833
@BBC,64,Tue Nov 28 11:57:59 +0000 2017,"RT @mixital: 💥New @bbcdoctorwho writing challenge!💥 
Oh dear, it looks like the Doctor needs to go shopping 😱 Write and share your #DoctorW…",0.7644,0.285,0.0,0.715
@BBC,65,Tue Nov 28 11:38:12 +0000 2017,"❄️🎄🎅 Mary Berry, Snow Bears and more! There's a feast for all the family to enjoy on BBC TV this Christmas.… https://t.co/BnzmqSIDD3",0.5411,0.149,0.0,0.851
@BBC,66,Tue Nov 28 10:17:56 +0000 2017,"RT @bbcworldservice: Meet the women pushing young girls into school and not marriage. 
Full story: https://t.co/XcSN0wComy
#BBCInnovators h…",0.0,0.0,0.0,1.0
@BBC,67,Tue Nov 28 10:17:12 +0000 2017,"RT @BBCSport: The nominees have been announced.

We're live with a closer look at the 2017 #SPOTY contenders. 

➡️ https://t.co/KP7M2LUfao…",0.0,0.0,0.0,1.0
@BBC,68,Tue Nov 28 09:59:55 +0000 2017,"RT @bbcthree: ""I'm not gonna let my condition beat me.""
Ryan has Tourette's and wants a chance to prove he's employable. https://t.co/R6rwV…",0.25,0.091,0.0,0.909
@BBC,69,Tue Nov 28 09:59:31 +0000 2017,"RT @BBCTwo: Five years ago, Andy had a stroke. Since then, he’s applied for over 3,000 jobs… but has only been offered ONE interview. #Empl…",0.0,0.0,0.0,1.0
@BBC,70,Tue Nov 28 09:33:02 +0000 2017,"Did you know that hamsters can hibernate? Lisa nearly buried her pet alive. Now, she's sharing what she's learned.… https://t.co/274SahWCRm",0.6597,0.231,0.0,0.769
@BBC,71,Tue Nov 28 08:55:04 +0000 2017,Withering wit and words of wisdom: Oscar Wilde's best quotes. 📖 https://t.co/mmkVPb0GGt https://t.co/XERUQWYw6E,0.8225,0.432,0.0,0.568
@BBC,72,Tue Nov 28 08:38:37 +0000 2017,"RT @BBCSport: Here are your contenders for Sports Personality of the Year 2017...

https://t.co/76SwEugYBv #SPOTY https://t.co/PHxjxHLRPw",0.0,0.0,0.0,1.0
@BBC,73,Tue Nov 28 08:35:33 +0000 2017,RT @BBCFood: The perfect weekend breakfast from @Nigella_Lawson. Question is... Can you wait until the weekend? 😲 🤤 https://t.co/PYRqTXhBr2…,0.5719,0.188,0.0,0.812
@BBC,74,Tue Nov 28 08:35:11 +0000 2017,RT @BBCWthrWatchers: Happy Tuesday!😊 https://t.co/oPgNkuTPpv,0.6114,0.499,0.0,0.501
@BBC,75,Tue Nov 28 08:34:51 +0000 2017,"RT @bbcdoctorwho: Enchanted glass people, stealing their victims from frozen time?
It can only be the #DoctorWho Christmas Special!
❄ https…",-0.2481,0.192,0.228,0.58
@BBC,76,Tue Nov 28 08:32:04 +0000 2017,"At first glance, these photos appear to show 'alien' underwater creatures but closer inspection reveals something f… https://t.co/B7h2lL4jRw",0.0,0.0,0.0,1.0
@BBC,77,Tue Nov 28 08:00:02 +0000 2017,"'The thing about grief, is that it doesn't wait for your weekly counselling appointment.'
Via @BBC5Live https://t.co/nr0UxWK5ra",-0.4939,0.0,0.167,0.833
@BBC,78,Tue Nov 28 07:38:03 +0000 2017,"According to scientific research, these 5 types of photograph are soothing. 💞 📷 https://t.co/7E4Uc18A7v https://t.co/h39WqbLjsY",0.3182,0.173,0.0,0.827
@BBC,79,Mon Nov 27 22:06:03 +0000 2017,Why Prince Harry and Meghan Markle's engagement is a royal shake-up. 💍 https://t.co/ipTRUtkC0r https://t.co/eqRy19Txe0,0.4588,0.214,0.0,0.786
@BBC,80,Mon Nov 27 21:24:04 +0000 2017,Celebrate #LancashireDay with a selection of stunning photographs from across the county. 🌳🍃📷… https://t.co/L91Cd1kd9k,0.743,0.364,0.0,0.636
@BBC,81,Mon Nov 27 21:05:04 +0000 2017,Experience daily life in the streets of Aleppo through the eyes of volunteers from the White Helmets. Storyville: L… https://t.co/2Of7uBnPKo,0.0,0.0,0.0,1.0
@BBC,82,Mon Nov 27 20:34:03 +0000 2017,Britain's most extraordinary job seekers aim to prove that having a neurological condition shouldn't make them unem… https://t.co/vZCio5XlQV,0.0,0.0,0.0,1.0
@BBC,83,Mon Nov 27 20:07:05 +0000 2017,Six of the wackiest marriage proposals to light up your day. 💍💒https://t.co/BY1DGxQzvx https://t.co/ds7ZGo1xIn,0.0,0.0,0.0,1.0
